2016-10-12,260830090
2016-10-13,260654640
2016-10-14,247316781
2016-10-15,240077584
2016-10-16,260776650
2016-10-17,274322059
2016-10-18,268054358
2016-10-19,262441534
2016-10-20,255898226
2016-10-21,246409757
2016-10-22,234711255
2016-10-23,255354029
2016-10-24,271076811
2016-10-25,262744058
2016-10-26,255736117
2016-10-27,253613969
2016-10-28,235688281
2016-10-29,226475807
2016-10-30,251087997
2016-10-31,264541185
2016-11-01,259117309
2016-11-02,265813382
2016-11-03,269852547
2016-11-04,255121069
2016-11-05,247660614
2016-11-06,268353857
2016-11-07,278864476
2016-11-08,273132227
